Nom	XP
Badge de Malicien	0,025
Ballon bleu	0,025
Phéromone de Tofu	0,025
Blé	0,03
Bois de Frêne	0,03
Fer	0,03
Goujon	0,03
Ortie	0,03
Poudre de Perlinpainpain	0,037
Greuvette	0,04
Bave de Bouftou	0,041
Feu Intérieur	0,042
Œuf Chimérique	0,042
Plume Chimérique	0,042
Cendres Éternelles	0,043
Peau de Gloot	0,043
Pétale Diaphane	0,043
Viande Intangible	0,043
Laine Céleste	0,044
Queue de Chapardam	0,044
Relique d'Incarnam	0,045
Volve d'Aminite	0,045
Eau Potable	0,047
Bois de Châtaignier	0,05
Cuivre	0,05
Orge	0,05
Rune Age	0,05
Rune Cha	0,05
Rune Fo	0,05
Rune Ine	0,05
Rune Vi	0,05
Sauge	0,05
Truite	0,05
Viande Hachée	0,053
Coffret maudit du Flib	0,054
Os de Chafer	0,055
Citron	0,056
Bec du Tofu	0,059
Feuille de salace	0,059
Intestin d'Araknosé	0,059
Œil d'Arakmuté	0,059
Plume de Piou Bleu	0,059
Plume de Piou Jaune	0,059
Plume de Piou Vert	0,059
Plume de Piou Violet	0,059
Poils d'Arakne Malade	0,059
Crabe Sourimi	0,06
Plume de Piou Rose	0,06
Plume de Piou Rouge	0,062
Fragment d'anomalie	0,063
Pétale de Rose Démoniaque	0,067
Avoine	0,07
Bois de Noyer	0,07
Bois de Pin	0,07
Bronze	0,07
Moumoule	0,07
Poisson-Chaton	0,07
Trèfle à 5 feuilles	0,07
Graine de Tournesol	0,072
Langue d'Épouvanteur	0,072
Serviette de Plage	0,072
Fleur de Pissenlit Diabolique	0,073
Patte d'Arakne	0,074
Ailes de Moskito	0,075
Épine du Champ Champ	0,075
Graine de Pavot	0,075
Laine de Bouftou	0,075
Peau de Larve Bleue	0,075
Peau de Larve Jaune	0,075
Peau de Larve Orange	0,075
Peau de Larve Verte	0,075
Pétale de Tournesol Sauvage	0,075
Cœur de Bworkcelhaine	0,079
Viande faisandée	0,083
Poisson Pané	0,09
Pétale de Rose Obscure	0,095
Conque Marine	0,096
Crème à bronzer	0,096
Fluide Glacial	0,096
Nageoire de Compétition	0,096
Laine de Ramane Strubien	0,097
Bois de Chêne	0,1
Carpe d'Iem	0,1
Corne de Boufton	0,1
Houblon	0,1
Kobalte	0,1
Menthe Sauvage	0,1
Rune Ini	0,1
Rune Pod	0,1
Défense du Sanglier	0,102
Cuir de Bouftou Noir	0,104
Aile du Tofu Maléfique	0,105
Laine de Boufton Noir	0,109
Bois de Bombu	0,11
Cendres Juvéniles	0,11
Flaque Juvénile	0,11
Fumée Juvénile	0,11
Poudre Juvénile	0,11
Sardine Brillante	0,11
Casque de Martoa	0,111
Crocs de Rats	0,111
Cuir de Scélérat Strubien	0,111
Gant de Sherpoa	0,111
Gland	0,111
Noisette	0,111
Œil de Pikdoa	0,111
Oreille de Douzdoa	0,111
Pic de Prespic	0,111
Poils du Milimulou	0,111
Boue du Boo	0,116
Bout de Blop Coco	0,116
Bout de Blop Griotte	0,116
Bout de Blop Indigo	0,116
Bout de Blop Reinette	0,116
Canine Vampiresque	0,117
Bois d'Érable	0,12
Brochet	0,12
Lin	0,12
Manganèse	0,12
Orchidée Freyesque	0,12
Sang de Vampire	0,123
Laine du Chef de Guerre Bouftou	0,124
Cachet du bizut	0,125
Levure de Boulanger	0,126
Viande Frelatée	0,133
Boue Juvénile	0,134
Bois d'Oliviolet	0,14
Kralamoure	0,14
Os Invisible du Chafer Invisible	0,144
Ailes de Scarafeuille Blanc	0,149
Ailes de Scarafeuille Rouge	0,149
Anguille	0,15
Bois d'If	0,15
Edelweiss	0,15
Étain	0,15
Riz	0,15
Seigle	0,15
Silicate	0,15
Œil de Kwoan	0,155
Bois de Bambou	0,16
